acc_count,acc_mean,acc_std,acc_min,acc_max,acc_med,acc_skew,acc_kurt,acc_jerk_max,acc_peak_count,acc_bandpower,acc_step_freq,acc_zcr,ppg_mean,ppg_std,ppg_rmssd,ppg_slope,spo2_mean,spo2_std,spo2_roc,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,67.83333333333333,1.7716909687891085,1.1832159566199232,1.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,71.875,3.479852726768764,1.5118578920369088,1.511904761904762,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.0,1.5811388300841898,1.4142135623730951,1.4,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,76.5,0.7071067811865476,0.5345224838248488,-0.2619047619047619,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.5,0.957427107756338,0.7745966692414834,-0.5428571428571428,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,74.5,0.5,1.0,-1.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,79.66666666666667,0.4714045207910317,0.7071067811865476,-0.5,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,79.0,0.7559289460184544,0.5773502691896257,-0.3571428571428571,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.85714285714286,0.832993127835043,0.5773502691896257,-0.3928571428571428,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.25,0.4330127018922193,0.5773502691896257,0.3,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,86.42857142857143,0.4948716593053935,0.5773502691896257,0.1071428571428571,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,85.0,1.914854215512676,1.1832159566199232,-1.0857142857142856,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,83.33333333333333,1.247219128924647,1.5811388300841898,-1.5,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,83.33333333333333,0.4714045207910317,0.7071067811865476,0.5,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,84.0,0.7559289460184544,0.5773502691896257,0.3571428571428571,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,84.71428571428571,0.4517539514526256,0.408248290463863,0.1785714285714285,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,80.75,0.82915619758885,0.816496580927726,-0.7,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,79.75,1.299038105676658,0.7559289460184544,-0.5476190476190477,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.5,0.7637626158259734,0.6324555320336759,-0.3714285714285714,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,62.333333333333336,0.4714045207910317,0.7071067811865476,0.5,0.0,0.0,0.0,rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,64.42857142857143,2.194613070819602,1.1547005383792517,1.0714285714285714,0.0,0.0,0.0,rest
