timestamp,sensor_uuid,hex,label
1753036417.300236,0000fea1-0000-1000-8000-00805f9b34fb,01000000,None
1753036417.343018,0000fea1-0000-1000-8000-00805f9b34fb,01000000,None
1753036417.492951,0000fea1-0000-1000-8000-00805f9b34fb,01000000,None
1753036421.445430,0000fee1-0000-1000-8000-00805f9b34fb,000000000000000000,rest
1753036421.446456,0000fee3-0000-1000-8000-00805f9b34fb,feea200532,rest
1753036441.238199,00002a19-0000-1000-8000-00805f9b34fb,47,rest
1753036572.232688,00002a37-0000-1000-8000-00805f9b34fb,0642,rest
1753036573.208623,00002a37-0000-1000-8000-00805f9b34fb,0642,rest
1753036574.182281,00002a37-0000-1000-8000-00805f9b34fb,0643,rest
1753036575.157702,00002a37-0000-1000-8000-00805f9b34fb,0644,rest
1753036576.132478,00002a37-0000-1000-8000-00805f9b34fb,0645,rest
1753036577.106220,00002a37-0000-1000-8000-00805f9b34fb,0647,rest
1753036578.083255,00002a37-0000-1000-8000-00805f9b34fb,0649,rest
1753036579.058140,00002a37-0000-1000-8000-00805f9b34fb,064a,rest
1753036580.226688,00002a37-0000-1000-8000-00805f9b34fb,064c,rest
1753036581.201900,00002a37-0000-1000-8000-00805f9b34fb,064d,rest
1753036759.825364,0000fea1-0000-1000-8000-00805f9b34fb,01110000,walk
1753036759.826458,0000fee1-0000-1000-8000-00805f9b34fb,1100000e0000010000,walk
1753036760.991860,0000fee1-0000-1000-8000-00805f9b34fb,1200000e0000010000,walk
1753036760.991860,0000fea1-0000-1000-8000-00805f9b34fb,01120000,walk
1753036761.382308,0000fea1-0000-1000-8000-00805f9b34fb,01130000,walk
1753036761.383293,0000fee1-0000-1000-8000-00805f9b34fb,1300000f0000010000,walk
1753036761.967310,0000fee1-0000-1000-8000-00805f9b34fb,150000110000010000,walk
1753036761.968288,0000fea1-0000-1000-8000-00805f9b34fb,01150000,walk
1753036762.357654,0000fee1-0000-1000-8000-00805f9b34fb,160000120000010000,walk
1753036762.357654,0000fea1-0000-1000-8000-00805f9b34fb,01160000,walk
1753036763.332874,0000fee1-0000-1000-8000-00805f9b34fb,170000130000010000,walk
1753036763.333878,0000fea1-0000-1000-8000-00805f9b34fb,01170000,walk
1753036763.918144,0000fea1-0000-1000-8000-00805f9b34fb,01180000,walk
1753036763.919177,0000fee1-0000-1000-8000-00805f9b34fb,180000130000010000,walk
1753036764.891708,0000fee1-0000-1000-8000-00805f9b34fb,1a0000150000010000,walk
1753036764.892712,0000fea1-0000-1000-8000-00805f9b34fb,011a0000,walk
1753036765.868063,0000fee1-0000-1000-8000-00805f9b34fb,1b0000160000010000,walk
1753036766.063387,0000fea1-0000-1000-8000-00805f9b34fb,011b0000,walk
1753036766.452506,0000fee1-0000-1000-8000-00805f9b34fb,1c0000170000010000,walk
1753036766.453620,0000fea1-0000-1000-8000-00805f9b34fb,011c0000,walk
1753036767.427232,0000fee1-0000-1000-8000-00805f9b34fb,1d0000180000010000,walk
1753036767.623811,0000fea1-0000-1000-8000-00805f9b34fb,011d0000,walk
1753036768.986653,0000fee1-0000-1000-8000-00805f9b34fb,1e0000180000010000,walk
1753036768.987781,0000fea1-0000-1000-8000-00805f9b34fb,011e0000,walk
