timestamp,sensor_uuid,value,label
1753036421.446456,0000fee3-0000-1000-8000-00805f9b34fb,32.0,rest
1753036572.232688,00002a37-0000-1000-8000-00805f9b34fb,66.0,rest
1753036573.208623,00002a37-0000-1000-8000-00805f9b34fb,66.0,rest
1753036574.182281,00002a37-0000-1000-8000-00805f9b34fb,67.0,rest
1753036575.157702,00002a37-0000-1000-8000-00805f9b34fb,68.0,rest
1753036576.132478,00002a37-0000-1000-8000-00805f9b34fb,69.0,rest
1753036577.10622,00002a37-0000-1000-8000-00805f9b34fb,71.0,rest
1753036578.083255,00002a37-0000-1000-8000-00805f9b34fb,73.0,rest
1753036579.05814,00002a37-0000-1000-8000-00805f9b34fb,74.0,rest
1753036580.226688,00002a37-0000-1000-8000-00805f9b34fb,76.0,rest
1753036581.2019,00002a37-0000-1000-8000-00805f9b34fb,77.0,rest
1753036759.825364,0000fea1-0000-1000-8000-00805f9b34fb,4353.0,walk
1753036760.99186,0000fea1-0000-1000-8000-00805f9b34fb,4609.0,walk
1753036761.382308,0000fea1-0000-1000-8000-00805f9b34fb,4865.0,walk
1753036761.968288,0000fea1-0000-1000-8000-00805f9b34fb,5377.0,walk
1753036762.357654,0000fea1-0000-1000-8000-00805f9b34fb,5633.0,walk
1753036763.333878,0000fea1-0000-1000-8000-00805f9b34fb,5889.0,walk
1753036763.918144,0000fea1-0000-1000-8000-00805f9b34fb,6145.0,walk
1753036764.892712,0000fea1-0000-1000-8000-00805f9b34fb,6657.0,walk
1753036766.063387,0000fea1-0000-1000-8000-00805f9b34fb,6913.0,walk
1753036766.45362,0000fea1-0000-1000-8000-00805f9b34fb,7169.0,walk
1753036767.623811,0000fea1-0000-1000-8000-00805f9b34fb,7425.0,walk
1753036768.987781,0000fea1-0000-1000-8000-00805f9b34fb,7681.0,walk
1753036769.37731,0000fea1-0000-1000-8000-00805f9b34fb,7937.0,walk
1753036770.352646,0000fea1-0000-1000-8000-00805f9b34fb,8193.0,walk
1753036771.327729,0000fea1-0000-1000-8000-00805f9b34fb,8449.0,walk
1753036772.49886,0000fea1-0000-1000-8000-00805f9b34fb,8705.0,walk
1753036773.474612,0000fea1-0000-1000-8000-00805f9b34fb,8961.0,walk
1753036773.862108,0000fea1-0000-1000-8000-00805f9b34fb,9217.0,walk
1753036774.44822,0000fea1-0000-1000-8000-00805f9b34fb,9473.0,walk
1753036774.835909,0000fea1-0000-1000-8000-00805f9b34fb,9729.0,walk
1753036776.011477,0000fea1-0000-1000-8000-00805f9b34fb,9985.0,walk
1753036776.398356,0000fea1-0000-1000-8000-00805f9b34fb,10241.0,walk
1753036777.372463,0000fea1-0000-1000-8000-00805f9b34fb,10497.0,walk
1753036777.959948,0000fea1-0000-1000-8000-00805f9b34fb,10753.0,walk
